masv,hocky,namhoc,dtbhk,sotchk
16520154,1,2016,5.81,17
16520154,2,2016,6.06,19
16520154,1,2017,6.71,22
16520154,2,2017,6.79,21
16520154,3,2017,8.6,4
16520154,1,2018,6.11,17
16520155,1,2016,7.01,19
16520155,2,2016,6.4,19
16520155,3,2016,7.2,4
16520155,1,2017,7.31,24
16520155,2,2017,7.66,22
16520155,1,2018,6.72,20
16520156,1,2016,6.11,17
16520156,2,2016,5.32,21
16520156,1,2017,5.72,24
16520156,2,2017,6.74,23
16520156,1,2018,7.0,22
16520157,1,2016,6.69,17
16520157,2,2016,6.96,17
16520157,1,2017,6.47,21
16520157,2,2017,6.41,23
16520157,1,2018,6.18,22
16520159,1,2016,5.52,19
16520159,2,2016,4.82,21
16520159,3,2016,6.3,4
16520159,1,2017,5.87,21
16520159,2,2017,6.37,19
16520159,3,2017,5.0,3
16520159,1,2018,6.91,20
16520162,1,2016,5.39,19
16520162,2,2016,4.09,19
16520162,3,2016,7.2,3
16520162,1,2017,5.76,24
16520162,2,2017,5.84,21
16520162,3,2017,7.4,4
16520162,1,2018,6.73,21
16520164,1,2016,3.45,15
16520164,2,2016,1.91,19
16520164,3,2016,5.1,3
16520164,1,2017,3.11,18
16520164,2,2017,0.87,17
16520165,1,2016,7.23,17
16520165,2,2016,6.29,19
16520165,1,2017,7.9,21
16520165,2,2017,7.41,22
16520165,1,2018,7.89,21
16520166,1,2016,4.11,13
16520167,1,2016,8.46,17
16520167,2,2016,7.98,21
16520167,1,2017,8.2,22
16520167,2,2017,8.05,19
16520167,1,2018,8.11,18
16520170,1,2016,5.16,17
16520170,2,2016,1.97,19
16520170,1,2017,6.34,24
16520170,2,2017,6.39,22
16520170,3,2017,4.0,4
16520170,1,2018,7.21,16
16520172,1,2016,5.92,19
16520172,2,2016,3.53,19
16520172,3,2016,7.5,4
16520172,1,2017,6.11,23
16520172,2,2017,3.94,20
16520172,3,2017,0.0,4
16520172,1,2018,1.82,22
16520175,1,2016,7.24,19
16520175,2,2016,7.18,21
16520175,3,2016,8.6,3
16520175,1,2017,7.34,24
16520175,2,2017,7.91,15
16520175,1,2018,5.32,14
16520177,1,2016,5.49,19
16520177,2,2016,6.47,17
16520177,1,2017,6.92,21
16520177,2,2017,7.29,20
16520177,1,2018,7.73,23
16520178,1,2016,5.62,19
16520178,2,2016,5.25,21
16520178,3,2016,6.34,7
16520178,1,2017,6.83,20
16520178,2,2017,6.71,17
16520178,1,2018,6.49,16
16520179,1,2016,7.23,17
16520179,2,2016,7.71,21
16520179,1,2017,8.76,20
16520179,2,2017,7.71,21
16520179,1,2018,7.79,14
16520181,1,2016,6.13,19
16520181,2,2016,5.3,19
16520181,1,2017,6.49,21
16520181,2,2017,7.51,22
16520181,1,2018,6.95,23
16520183,1,2016,3.11,19
16520183,2,2016,0.19,11
16520185,1,2016,6.08,17
16520185,2,2016,6.35,17
16520185,1,2017,7.39,24
16520185,2,2017,6.03,19
16520185,3,2017,5.7,4
16520185,1,2018,6.9,20
16520186,1,2016,3.82,19
16520186,2,2016,0.7,3
16520187,1,2016,5.67,15
16520187,2,2016,3.09,15
16520187,1,2017,5.82,19
16520187,2,2017,4.48,17
16520187,1,2018,3.4,12
16520191,1,2016,8.03,13
16520191,2,2016,6.43,18
16520191,1,2017,6.86,22
16520191,2,2017,7.43,20
16520191,1,2018,6.36,20
16520196,1,2016,8.2,19
16520196,2,2016,7.92,21
16520196,1,2017,8.12,21
16520196,2,2017,7.29,19
16520196,1,2018,7.88,18
16520198,1,2016,6.55,15
16520198,2,2016,5.73,19
16520198,1,2017,5.83,20
16520198,2,2017,6.72,17
16520198,1,2018,7.54,16
16520199,1,2016,6.51,17
16520199,2,2016,6.59,21
16520199,1,2017,7.29,18
16520199,2,2017,7.09,22
16520199,1,2018,7.12,17
16520200,1,2016,8.22,17
16520200,2,2016,8.08,19
16520200,1,2017,7.7,24
16520200,2,2017,8.1,20
16520200,1,2018,8.56,18
16520203,1,2016,6.47,19
16520203,2,2016,6.56,19
16520203,1,2017,7.45,21
16520203,2,2017,7.19,14
16520203,3,2017,9.9,4
16520203,1,2018,7.68,16
16520206,1,2016,7.85,15
16520206,2,2016,7.49,19
16520206,1,2017,7.12,24
16520206,2,2017,6.62,22
16520206,1,2018,7.6,18
16520207,1,2016,5.81,17
16520207,2,2016,4.41,18
16520207,1,2017,7.15,19
16520207,2,2017,6.51,22
16520207,1,2018,6.76,19
16520210,1,2016,6.71,17
16520210,2,2016,3.56,19
16520210,1,2017,7.49,18
16520210,2,2017,7.54,21
16520210,3,2017,4.1,4
16520210,1,2018,6.96,20
16520213,1,2016,6.87,19
16520213,2,2016,6.69,19
16520213,1,2017,7.84,20
16520213,2,2017,6.73,18
16520213,1,2018,7.27,17
16520216,1,2016,7.57,17
16520216,2,2016,8.03,19
16520216,1,2017,8.48,23
16520216,2,2017,8.43,18
16520216,1,2018,7.17,19
16520217,1,2016,6.87,17
16520217,2,2016,6.42,21
16520217,1,2017,6.68,24
16520217,2,2017,4.75,17
16520217,1,2018,5.64,22
16520218,1,2016,6.84,13
16520218,2,2016,4.98,17
16520218,3,2016,7.3,4
16520218,1,2017,8.02,22
16520218,2,2017,6.36,22
16520218,3,2017,7.4,4
16520218,1,2018,7.68,14
16520219,1,2016,7.85,17
16520219,2,2016,6.49,19
16520219,1,2017,8.5,21
16520219,2,2017,8.41,22
16520219,1,2018,8.22,20
16520221,1,2016,6.59,17
16520221,2,2016,4.89,21
16520221,1,2017,7.29,21
16520221,2,2017,6.85,24
16520221,1,2018,7.52,21
16520222,1,2016,6.16,13
16520222,2,2016,3.45,17
16520222,1,2017,6.47,23
16520222,2,2017,6.15,24
16520222,1,2018,7.16,22
16520223,1,2016,6.24,17
16520223,2,2016,5.28,19
16520223,1,2017,6.37,24
16520223,2,2017,7.62,20
16520223,3,2017,6.4,4
16520223,1,2018,7.14,16
16520225,1,2016,8.02,17
16520225,2,2016,7.89,18
16520228,1,2016,8.01,17
16520228,2,2016,7.88,21
16520228,1,2017,8.54,21
16520228,2,2017,7.13,24
16520228,1,2018,6.85,21
16520229,1,2016,5.49,17
16520229,2,2016,4.13,19
16520229,1,2017,5.95,22
16520229,2,2017,6.66,21
16520229,3,2017,7.2,3
16520229,1,2018,5.92,20
16520230,1,2016,8.06,13
16520230,2,2016,8.21,17
16520230,1,2017,8.4,23
16520230,2,2017,7.43,18
16520230,1,2018,8.19,14
16520231,1,2016,6.39,15
16520231,2,2016,6.81,18
16520231,3,2016,7.3,3
16520231,1,2017,6.49,22
16520231,2,2017,6.8,22
16520231,1,2018,7.25,20
16520236,1,2016,8.12,17
16520236,2,2016,8.42,19
16520236,1,2017,8.66,21
16520236,2,2017,7.99,20
16520236,1,2018,0.0,16
16520237,1,2016,8.35,15
16520237,2,2016,6.63,22
16520237,1,2017,7.45,24
16520237,2,2017,7.78,19
16520237,1,2018,6.38,17
16520238,1,2016,7.35,13
16520238,2,2016,4.7,20
16520238,1,2017,6.97,22
16520238,2,2017,6.97,22
16520238,1,2018,6.55,16
16520240,1,2016,7.21,13
16520240,2,2016,7.28,24
16520240,1,2017,6.97,22
16520240,2,2017,6.53,24
16520240,1,2018,7.94,20
16520241,1,2016,6.76,19
16520241,2,2016,6.69,19
16520241,1,2017,8.23,24
16520241,2,2017,8.23,23
16520241,1,2018,7.41,19
16520242,1,2016,7.77,15
16520242,2,2016,5.83,18
16520242,1,2017,6.81,23
16520242,2,2017,6.48,23
16520242,1,2018,7.78,21
16520243,1,2016,6.99,15
16520243,2,2016,7.72,15
16520243,3,2016,9.4,4
16520243,1,2017,7.58,24
16520243,2,2017,7.85,21
16520243,1,2018,5.84,20
16520245,1,2016,6.95,13
16520245,2,2016,5.04,17
16520245,1,2017,6.98,23
16520245,2,2017,5.96,19
16520245,3,2017,6.6,4
16520245,1,2018,6.57,21
16520246,1,2016,7.69,17
16520246,2,2016,7.69,21
16520246,1,2017,8.27,20
16520246,2,2017,7.29,20
16520246,1,2018,8.25,15
16520249,1,2016,6.24,17
16520249,2,2016,6.41,20
16520249,1,2017,7.5,21
16520249,2,2017,6.93,19
16520249,1,2018,8.35,17
16520250,1,2016,5.24,15
16520250,2,2016,5.4,18
16520250,1,2017,5.99,23
16520250,2,2017,7.35,22
16520250,3,2017,5.95,8
16520250,1,2018,7.28,20
16520252,1,2016,6.97,13
16520252,2,2016,6.98,17
16520252,1,2017,8.34,17
16520252,2,2017,8.42,21
16520252,1,2018,7.87,19
16520253,1,2016,4.73,17
16520253,2,2016,3.59,19
16520253,1,2017,5.43,24
16520253,2,2017,2.99,15
16520253,3,2017,3.36,7
16520253,1,2018,2.43,15
16520254,1,2016,6.72,17
16520254,2,2016,6.86,19
16520254,1,2017,7.69,22
16520254,2,2017,8.25,18
16520254,1,2018,7.32,18
16520257,1,2016,6.66,17
16520257,2,2016,6.86,15
16520257,1,2017,8.1,24
16520257,2,2017,6.88,22
16520257,1,2018,6.06,22
16520258,1,2016,4.84,19
16520258,2,2016,0.82,15
16520258,3,2016,3.19,7
16520258,1,2017,2.74,10
16520258,2,2017,0.0,16
16520259,1,2016,8.81,19
16520259,2,2016,7.43,15
16520259,1,2017,8.59,20
16520259,2,2017,8.21,17
16520259,1,2018,6.97,18
16520260,1,2016,6.87,13
16520260,2,2016,5.65,17
16520260,1,2017,5.9,20
16520260,2,2017,6.23,24
16520260,3,2017,6.2,4
16520260,1,2018,5.85,17
16520263,1,2016,7.18,13
16520263,2,2016,6.78,17
16520263,1,2017,6.86,21
16520263,2,2017,6.49,24
16520263,1,2018,7.26,24
16520265,1,2016,5.56,13
16520265,2,2016,5.59,21
16520265,1,2017,5.72,15
